run_name,epoch,train_total,train_reconstruction,train_kl,train_value,val_total,val_reconstruction,val_kl,val_value
TestV1,1,0.2557682380080223,0.10404363870620728,0.3661844517737627,0.15135841450095178,0.21711500883102416,0.08520613420009614,0.9525289044380189,0.13095634520053864
TestV1,2,0.2103778858780861,0.08131281206011773,1.1995505981445314,0.1278655232489109,0.20671898055076598,0.07981476539373397,1.286534023284912,0.12561768186092376
TestV1,3,0.1997875435948372,0.07552490139007569,1.5513489494323731,0.12271129298210144,0.19444870102405548,0.07198729729652405,1.8144695320129394,0.12064693427085876
TestV1,4,0.1888657363653183,0.06856559027731418,2.0120314111709594,0.11828811505436897,0.1857598497867584,0.06494374510645866,2.226111022949219,0.11858999454975128
TestV1,5,0.17699655944108963,0.059831604167819026,2.3883765716552734,0.11477657860517501,0.17293774449825286,0.05504755157232284,2.5410915050506593,0.11534910142421723
TestV1,6,0.16586295354366304,0.05083764854073525,2.6896359634399416,0.11233566898107529,0.1649756076335907,0.04819201111793518,2.7660083332061767,0.11401758790016174
TestV1,7,0.15952559745311737,0.04594062866270542,2.825020408630371,0.1107599481344223,0.1604357067346573,0.04437381684780121,2.8853638095855714,0.11317652583122254
TestV1,8,0.15463906955718995,0.042836696177721026,2.874953981399536,0.10892741958796978,0.1570077360868454,0.041696677416563036,2.890238674163818,0.11242081880569459
TestV1,9,0.15104847741127014,0.04048134832084179,2.9248381519317626,0.10764229044318199,0.1557440948486328,0.040229050368070604,2.91028297996521,0.11260476243495941
TestV1,10,0.1483304286003113,0.038446509793400765,2.9885395097732546,0.10689537844061851,0.1558093328475952,0.03735175612568855,3.0890363845825197,0.11536853945255279
TestV1,11,0.14493264067173003,0.035857661023736,3.046988465309143,0.10602799175679684,0.1517769832611084,0.03542052948474884,3.0428446197509764,0.11331360840797425
TestV1,12,0.14331062984466553,0.03421386088430881,3.045493273735046,0.10605127570033074,0.15358737099170686,0.03401692488789559,3.0370757122039795,0.11653337079286576
TestV1,13,0.13999618136882783,0.03284045861661434,3.075058217048645,0.1040806640535593,0.14741211485862732,0.03274094407260418,3.0884085483551025,0.11158276277780532
TestV1,14,0.1384391613304615,0.0319013594686985,3.0453770656585695,0.10349242427945136,0.14835214161872864,0.03182257191836834,3.1019276390075685,0.11342764157056809
TestV1,15,0.13674017959833146,0.03111796002089977,3.0516904029846192,0.1025705288797617,0.14526704132556914,0.03113192191720009,3.0859190940856935,0.1110492000579834
TestV1,16,0.13549028646945954,0.030468710072338583,3.0479494352340697,0.10197362741827964,0.14391360652446747,0.030695958450436593,3.0345419692993163,0.11018310546875
TestV1,17,0.13320706325769424,0.02992076938599348,3.0504029531478882,0.10023589043319225,0.14311566400527953,0.030356109321117403,3.0223551387786864,0.10973719871044159
TestV1,18,0.13296577605605125,0.029550742238759996,3.0285035514831544,0.10038653007149696,0.14420953691005706,0.029572607710957526,3.056689374923706,0.11158023917675018
TestV1,19,0.13137213334441186,0.02906227555125952,3.044551568984985,0.09926530639827251,0.14415194761753083,0.0293381969332695,3.0231365814208986,0.11179061377048492
TestV1,20,0.1304064965248108,0.0287056879773736,3.0348192148208617,0.0986659893989563,0.14164999520778657,0.02899530266225338,2.9816811904907228,0.1096730111837387
TestV1,21,0.12889604088664056,0.028361056879162787,3.024774205207825,0.0975102100521326,0.14244954919815064,0.02883993883430958,3.023168510437012,0.11058644163608551
TestV1,22,0.1287599897682667,0.02817147884517908,3.0290467853546144,0.0975594634115696,0.14268068253993987,0.02833363938331604,3.025847204208374,0.1113211966753006
TestV1,23,0.1288231403529644,0.02793239441514015,3.010499137878418,0.09788024681806565,0.14238078916072847,0.028068406939506532,3.034233932495117,0.11127814906835556
TestV1,24,0.12654350739717485,0.027603325970470906,3.0381695795059205,0.09590201134979724,0.14557332015037536,0.028384267270565033,3.101631967544556,0.11408742141723632
TestV1,25,0.12555337181687354,0.02734797105193138,3.0319458503723142,0.09517345479130745,0.14189358103275299,0.027731959849596022,3.0218540325164795,0.11113976776599883
TestV1,26,0.12578003960847856,0.027215035900473594,2.993213128089905,0.09557179035246373,0.1455164909362793,0.027801222890615464,2.9599791526794434,0.11475528919696808
TestV1,27,0.12430602914094925,0.02694720819592476,3.026125917434692,0.09433269469439984,0.13820344126224518,0.027473119497299196,2.9455317001342776,0.10778479015827179
TestV1,28,0.12343516963720322,0.026812611021101475,3.0107263851165773,0.0936118319928646,0.14120277535915374,0.02724566273391247,3.026877784729004,0.11093023550510407
TestV1,29,0.12285952365398407,0.026652837067842484,3.0272446231842043,0.09317944158613682,0.1443429147005081,0.027379941642284394,3.0298162822723387,0.1139331568479538
TestV1,30,0.12218998175859451,0.026525787606835365,3.0099130239486693,0.09265428088605404,0.13805830335617064,0.027050187900662423,3.05171958732605,0.10795639503002166
TestV1,31,0.12210312688350677,0.02640579392760992,3.0129447088241577,0.09268438845872878,0.138217387676239,0.026642792746424674,2.9827689685821532,0.10859182512760163
TestV1,32,0.12093199664354325,0.026228226244449617,3.0225361909866333,0.09168123400211334,0.13879259133338928,0.026601897120475768,3.0257367782592772,0.10916495776176452
TestV1,33,0.11977167814970016,0.026055037751793863,3.0086235570907593,0.09070801670849324,0.13840517985820772,0.026848585665225983,2.962640464782715,0.10859395384788513
TestV1,34,0.11921615064144135,0.026015748865902424,3.0116654329299926,0.09018873611092568,0.13728133761882783,0.026649330496788026,3.0038221416473387,0.10762818443775177
TestV1,35,0.11899233582615852,0.025859957188367845,2.9986974515914917,0.0901336812376976,0.13821850097179414,0.026301195174455644,3.0295915317535402,0.10888771390914917
TestV1,36,0.11893467804789543,0.025775209799408914,2.9942932605743406,0.09016517481207847,0.13694638335704803,0.026395903319120406,3.0101480026245118,0.10754033136367798
TestV1,37,0.11879766196012496,0.02569917123019695,3.005866975784302,0.0900926234871149,0.13537121212482453,0.02640159073472023,2.99613471031189,0.10597348642349243
TestV1,38,0.1182484355866909,0.02559653826057911,3.0051262369155882,0.08964677076041698,0.13759807538986207,0.026215300172567367,2.9348342094421387,0.10844794142246246
TestV1,39,0.11715975260734558,0.025427984952926634,3.008846289634705,0.08872292119264602,0.14081483137607576,0.026302031874656677,2.9554595890045166,0.11155733978748321
TestV1,40,0.11680923265218734,0.025398119129240514,2.9977229471206663,0.0884133907109499,0.13808412230014802,0.026040629148483277,2.986325717926025,0.10905716669559479
TestV1,41,0.11639369270205498,0.025278317622840406,3.0077903661727907,0.08810758440196514,0.13599552071094512,0.02596095795929432,3.0433812694549562,0.10699118137359619
TestV1,42,0.11580117574334145,0.025154960848391056,3.009439579963684,0.08763677518069744,0.13891934394836425,0.025862256169319153,3.019082077026367,0.11003800523281097
TestV1,43,0.11493591320514679,0.025055301152169706,3.0182105369567873,0.0868624015301466,0.134850954413414,0.02539010579884052,3.0767106342315675,0.10638413810729981
TestV1,44,0.11482436645030976,0.024990636713802816,3.021493465423584,0.08681223636865616,0.13467955875396728,0.02549715946614742,3.0092277336120605,0.10617317205667495
TestV1,45,0.11352897381782531,0.02483715119212866,3.0156671066284177,0.08567615529894829,0.13550930762290955,0.025549442887306213,3.007370023727417,0.10695249414443969
TestV1,46,0.11298421564698219,0.02473367937654257,3.0009138202667236,0.0852496220767498,0.13395992612838745,0.025365137681365012,2.9902765274047853,0.10560451126098633
TestV1,47,0.113479405939579,0.024684311211109162,3.0105097646713257,0.08578458482027054,0.1385604771375656,0.02585829581320286,2.951478858947754,0.10975070178508758
TestV1,48,0.11298422864079476,0.02467457588762045,2.999694598197937,0.08530995811522007,0.13642863309383393,0.025550564900040627,3.058603240966797,0.10781946504116058
TestV1,49,0.11252410358190537,0.024527387484908104,3.0087014989852907,0.08498801463842393,0.13612735188007355,0.025274668484926224,2.991759422302246,0.10786092323064804
TestV1,50,0.11162355798482895,0.024392539359629154,3.0017759981155394,0.0842292427867651,0.13622431993484496,0.025001048877835275,3.0221235809326172,0.10820114725828171
