run_name,epoch,epoch_seconds,elapsed_seconds,elapsed_time,train_total,train_reconstruction,train_kl,train_value,train_placing_survival,val_total,val_reconstruction,val_kl,val_value,val_placing_survival
full_40k_reconstruction_lvsvae_v1,1,3.345390599919483,3.3453951999545097,00:00:03,0.07902289755642414,0.07731180480122567,1.7110926536247135,0.1945639893710613,0.2839472321867943,0.05096629899740219,0.048363836169242856,2.602462646484375,0.1931052212715149,0.28750540494918825
full_40k_reconstruction_lvsvae_v1,2,2.907266499940306,6.2627261999296024,00:00:06,0.0390096145272255,0.03620286290720105,2.806751495361328,0.19201893255114555,0.2825749426186085,0.03395919494330883,0.031185613855719566,2.773580856323242,0.1921321085691452,0.2771122430562973
full_40k_reconstruction_lvsvae_v1,3,3.4771294000092894,9.742981599993072,00:00:10,0.03182910716533661,0.029066338412463665,2.7627686591148377,0.1922888598740101,0.2753004742860794,0.031160835817456246,0.028479071497917174,2.6817641983032225,0.19401308953762053,0.27315948450565336
full_40k_reconstruction_lvsvae_v1,4,3.195615900098346,12.944276900030673,00:00:13,0.029850416172295807,0.02712646244093776,2.7239536061286924,0.1924909405708313,0.2726690457165241,0.029294795751571654,0.026558348432183267,2.7364471969604494,0.1938364143371582,0.2713783106803894
full_40k_reconstruction_lvsvae_v1,5,3.3141518000047654,16.26409519999288,00:00:16,0.028597912065684794,0.02590161430835724,2.6962976360321047,0.19196886131167412,0.27127601858973505,0.02841616164147854,0.025720850512385367,2.6953110313415527,0.1933472456932068,0.2696944043636322
full_40k_reconstruction_lvsvae_v1,6,2.9971384999807924,19.266528000007384,00:00:19,0.027691790238022804,0.0250071213580668,2.684668742656708,0.19127198731899261,0.27021725514531136,0.0276560031324625,0.024979661598801613,2.676341428756714,0.19187262880802156,0.26876772928237913
full_40k_reconstruction_lvsvae_v1,7,3.0208322000689805,22.292688900022767,00:00:22,0.02688334646448493,0.024201925847679377,2.68142045879364,0.19066134545207022,0.2693282684981823,0.026783861637115478,0.02409632481634617,2.68753657913208,0.19177915728092193,0.2685438476800919
full_40k_reconstruction_lvsvae_v1,8,2.9746841000160202,25.272340400028042,00:00:25,0.026160817824304104,0.023467527305707336,2.6932903690338135,0.1905281965136528,0.2686167324185371,0.026226915150880815,0.02353050173819065,2.696413372039795,0.191812651515007,0.2672687802314758
full_40k_reconstruction_lvsvae_v1,9,3.049623000086285,28.32713300001342,00:00:28,0.025451292082667352,0.02274782904982567,2.703462920665741,0.19049976533651353,0.2678334859311581,0.025464585557579994,0.022750197499990462,2.7143879623413087,0.1921337958574295,0.26865004932880404
full_40k_reconstruction_lvsvae_v1,10,3.0265503000700846,31.359347200021148,00:00:31,0.024730771873146297,0.02199797885119915,2.7327929377555846,0.19035262304544448,0.2667080394923687,0.024583368316292764,0.021847521767020227,2.73584641456604,0.19156402492523195,0.2652857813835144
full_40k_reconstruction_lvsvae_v1,11,2.908799299970269,34.27351049997378,00:00:34,0.024086276106536388,0.021331605037674308,2.7546709418296813,0.19013340759277345,0.2657251881957054,0.02419008193910122,0.021380749270319938,2.8093325443267823,0.19186244094371796,0.2660451476573944
full_40k_reconstruction_lvsvae_v1,12,2.900973599986173,37.179545099963434,00:00:37,0.023497685670852662,0.020723552260547878,2.774133300304413,0.1902309200167656,0.26570762673020365,0.023721798032522202,0.02093375204503536,2.7880458183288575,0.19138036561012267,0.2648921658992767
full_40k_reconstruction_lvsvae_v1,13,3.221120100002736,40.406669799936935,00:00:40,0.022989053189754485,0.020212509047240017,2.7765440173149107,0.1899482886195183,0.2649633171856403,0.023211317613720892,0.02043908053636551,2.772236879348755,0.19109981560707093,0.26435669589042665
full_40k_reconstruction_lvsvae_v1,14,3.175053699989803,43.587205499992706,00:00:44,0.022606096036732196,0.019818784127011897,2.787311782360077,0.18992990243434907,0.26475149020552635,0.022823068588972092,0.019996634110808372,2.826434335708618,0.19089316856861113,0.26465416777133943
full_40k_reconstruction_lvsvae_v1,15,2.8932009000563994,46.487415199982934,00:00:46,0.022221695935353638,0.019429565301164985,2.7921305079460144,0.18963848704099656,0.2643581549823284,0.022548879891633986,0.019755972266197203,2.7929074344635008,0.19099758875370026,0.26367304229736327
full_40k_reconstruction_lvsvae_v1,16,2.7535604001022875,49.247176000033505,00:00:49,0.021907104831188916,0.019105375045910478,2.8017296738624573,0.18943517273664476,0.26368665540218356,0.022139683693647386,0.019287036016583443,2.852647523880005,0.19071202445030214,0.2626707571744919
full_40k_reconstruction_lvsvae_v1,17,2.771580300061032,52.02322520001326,00:00:52,0.02162320371158421,0.018811870746314525,2.811332849979401,0.1891830703020096,0.26330890810489654,0.02200452910363674,0.019180881202220917,2.8236478424072264,0.19083202433586122,0.26283874559402465
full_40k_reconstruction_lvsvae_v1,18,2.794538400019519,54.82313059992157,00:00:55,0.021287547908723354,0.018481786930933594,2.8057608408927917,0.18904232931137085,0.26312676310539246,0.021780832961201667,0.019025071188807488,2.7557615604400634,0.19034969520568848,0.26243227076530456
full_40k_reconstruction_lvsvae_v1,19,2.717840899946168,57.54491069994401,00:00:58,0.021097366761416197,0.018282903611660004,2.814463020801544,0.18891762819886207,0.2629165496826172,0.02131447246670723,0.01852291502803564,2.7915573768615722,0.19051710295677185,0.26295079457759857
full_40k_reconstruction_lvsvae_v1,20,2.775610200013034,60.32543029997032,00:01:00,0.020806078642606734,0.017982754234224557,2.823324239253998,0.18868947103619577,0.26243798327445983,0.021197477251291275,0.018347139447927475,2.850337755203247,0.1904829136133194,0.2624675211906433
full_40k_reconstruction_lvsvae_v1,21,2.7546410999493673,63.08509349997621,00:01:03,0.02058540502935648,0.017751577537506818,2.833827331542969,0.1886523472070694,0.26221592688560486,0.020940054923295974,0.018088346824049948,2.8517079734802246,0.18975470137596132,0.26267527318000794
full_40k_reconstruction_lvsvae_v1,22,2.760847100056708,65.85143849998713,00:01:06,0.020372706674039363,0.017525108953937888,2.847597566127777,0.18848706859350203,0.26210671988129614,0.020557960823178293,0.017692299216985702,2.865661382675171,0.18939312517642976,0.26119803488254545
full_40k_reconstruction_lvsvae_v1,23,2.7836831000167876,68.64141239994206,00:01:09,0.020126351289451123,0.01727055747807026,2.855793651103973,0.18834380009770393,0.26188392278552053,0.020536528572440146,0.017705738894641398,2.8307894897460937,0.18981685590744019,0.2621016103029251
full_40k_reconstruction_lvsvae_v1,24,2.64745839999523,71.28920420003124,00:01:11,0.019939632806926965,0.01708382962271571,2.8558030018806457,0.18832304698228836,0.26195194384455683,0.020253772869706154,0.01739640747755766,2.8573652534484864,0.18979186975955964,0.2610167223215103
full_40k_reconstruction_lvsvae_v1,25,2.766106899944134,74.06136619998142,00:01:14,0.019779153179377316,0.016906648082658647,2.8725049915313723,0.1881963427364826,0.26211465075612067,0.020176634639501572,0.017263388581573964,2.913245891571045,0.18990670108795166,0.2627729070186615
full_40k_reconstruction_lvsvae_v1,26,2.7971948999911547,76.86371569999028,00:01:17,0.01957640222646296,0.01669802908040583,2.8783730025291443,0.18810327810049057,0.2618777678310871,0.020090553373098372,0.017213710151612757,2.8768430233001707,0.18937360620498658,0.2624162015914917
full_40k_reconstruction_lvsvae_v1,27,2.5669490000000224,79.43656059994828,00:01:19,0.019417134633287786,0.01653217563778162,2.884958824634552,0.18794978722929956,0.26196377739310267,0.019824229389429092,0.01692555121332407,2.8986781520843508,0.18932170939445495,0.2622677899599075
full_40k_reconstruction_lvsvae_v1,28,2.664760199957527,82.10588059993461,00:01:22,0.01927898719906807,0.01638435744866729,2.8946295924186707,0.18796790930628776,0.26180962908267974,0.019590740710496903,0.016688029773533345,2.9027107696533205,0.18939797914028167,0.2626575584411621
full_40k_reconstruction_lvsvae_v1,29,2.6933855999959633,84.8057818999514,00:01:25,0.019098828352987766,0.016196452468633653,2.902375757217407,0.1879354619383812,0.2620611119866371,0.019737093344330787,0.016842318035662173,2.8947752323150633,0.1897417575120926,0.2622267254590988
full_40k_reconstruction_lvsvae_v1,30,2.4056606999365613,87.211738999933,00:01:27,0.018931930152699353,0.016029526596888898,2.9024034180641176,0.18785282111167909,0.26203190204501153,0.01925680961459875,0.01634290523827076,2.9139042987823487,0.18920216929912567,0.26225927805900573
full_40k_reconstruction_lvsvae_v1,31,2.5737928999587893,89.79172179999296,00:01:30,0.018807739658281208,0.01589772567525506,2.910013813495636,0.1878213978111744,0.26190080684423445,0.019258816845715045,0.016346326813101768,2.912489881515503,0.18910947775840758,0.2618476608991623
full_40k_reconstruction_lvsvae_v1,32,2.294260900001973,92.08625289995689,00:01:32,0.01868259764648974,0.015772396374493836,2.9102011342048644,0.18788086453080177,0.26183255183696746,0.019073750920593737,0.016152155444025994,2.921595363616943,0.18939228284358978,0.2619053217172623
full_40k_reconstruction_lvsvae_v1,33,2.649150999961421,94.74089509993792,00:01:35,0.018554994367063045,0.015639381181448697,2.9156130728721616,0.1878773737847805,0.26165947383642196,0.019028895951807498,0.016130747966468333,2.898147840499878,0.18913347458839416,0.26196579110622403
full_40k_reconstruction_lvsvae_v1,34,2.638018799945712,97.3837857999606,00:01:37,0.018445520769804716,0.015525135090574621,2.920385552883148,0.18779606240987778,0.2616505881249905,0.019052730068564415,0.01610240649431944,2.9503234386444093,0.18885702395439147,0.26068454897403714
full_40k_reconstruction_lvsvae_v1,35,2.654272999963723,100.04379619995598,00:01:40,0.018307355282828213,0.015383463675156236,2.923891435623169,0.18772328051924705,0.2616039908230305,0.018876951962709426,0.01593947643786669,2.93747536277771,0.18912543845176696,0.2616065239906311
full_40k_reconstruction_lvsvae_v1,36,2.79280480009038,102.84188810002524,00:01:43,0.01816709885932505,0.015236859446391464,2.9302392578125,0.1877569554746151,0.2615298362672329,0.018610326565802096,0.01570291209220886,2.9074143600463866,0.18885821163654326,0.26166393995285037
full_40k_reconstruction_lvsvae_v1,37,2.691744399955496,105.53961209999397,00:01:46,0.01806062694080174,0.015129305507987738,2.9313213024139406,0.1877926640510559,0.2617710652053356,0.018698766864836215,0.01576410959661007,2.934657169342041,0.18911149680614472,0.2624209657907486
full_40k_reconstruction_lvsvae_v1,38,2.3303065999643877,107.87021409999579,00:01:48,0.01792826939933002,0.014996206341311335,2.932062903404236,0.1876439543068409,0.2615749873518944,0.018410458147525788,0.01550186152011156,2.9085964851379393,0.18886302471160887,0.26147720766067506
full_40k_reconstruction_lvsvae_v1,39,2.631939999992028,110.50841589993797,00:01:51,0.01783895249478519,0.014901210494339467,2.9377418751716613,0.18767087402939797,0.261683664649725,0.0182614623978734,0.015301359094679355,2.960103168487549,0.18934373784065248,0.26189850401878356
full_40k_reconstruction_lvsvae_v1,40,2.6752413000212982,113.18864089995623,00:01:53,0.0177269295360893,0.014776929946616292,2.949999464035034,0.1876793686747551,0.2614633346796036,0.018162996761500835,0.015222956344485283,2.9400400848388673,0.18887204968929291,0.2616393929719925
full_40k_reconstruction_lvsvae_v1,41,2.595338699989952,115.78966569993645,00:01:56,0.017559462944045662,0.014611619962379337,2.9478428540229795,0.18762933349609376,0.2613309229910374,0.018111295841634272,0.015133385121822357,2.9779105529785155,0.18906461226940155,0.2614220751523972
full_40k_reconstruction_lvsvae_v1,42,2.594020999968052,118.40717839996796,00:01:58,0.017465221481397748,0.014503156336024404,2.962065043926239,0.1875576769709587,0.2614751486182213,0.018076885901391507,0.0151000996530056,2.9767861671447755,0.18918562591075896,0.26178615307807923
full_40k_reconstruction_lvsvae_v1,43,2.6352211999474093,121.04827609995846,00:02:01,0.017310557529330254,0.014352512706071139,2.9580446972846985,0.1874174218773842,0.2612582704722881,0.017792095072567463,0.014826533943414688,2.9655609760284425,0.1881865121126175,0.2604943860769272
full_40k_reconstruction_lvsvae_v1,44,2.6008868000935763,123.65495450003073,00:02:04,0.01722231576964259,0.014257929990068079,2.964385642528534,0.18731739339232445,0.26113726788759234,0.01768597986549139,0.01471629273146391,2.969686965942383,0.1887013863325119,0.2608830493688583
full_40k_reconstruction_lvsvae_v1,45,2.6296825000317767,126.29089880001266,00:02:06,0.01710768122971058,0.014139181708917021,2.968499427318573,0.1873058949112892,0.2613242114782333,0.017868423692882062,0.01484929431974888,3.019129222869873,0.18913576185703276,0.26091133773326874
full_40k_reconstruction_lvsvae_v1,46,2.2813408999936655,128.57259819994215,00:02:09,0.016976508490741254,0.014000526923686266,2.975981424331665,0.18735888278484344,0.26128696379065514,0.017483079142868518,0.014492587886750698,2.9904911708831787,0.18856568956375122,0.2603766099214554
full_40k_reconstruction_lvsvae_v1,47,2.673655900056474,131.25078489992302,00:02:11,0.016854914708063006,0.013861271940171718,2.9936425919532774,0.1872101813852787,0.260811482578516,0.017372172243893147,0.014411676086485387,2.9604959125518797,0.18873239648342133,0.26091821706295015
full_40k_reconstruction_lvsvae_v1,48,2.634787199902348,133.8917770999251,00:02:14,0.01671978386119008,0.013733472337946296,2.9863113508224486,0.1871397489309311,0.2607272212803364,0.01713517441600561,0.014125565782189368,3.0096085052490236,0.18859862756729126,0.26102812206745146
full_40k_reconstruction_lvsvae_v1,49,2.6515227000927553,136.54859110002872,00:02:17,0.016605049228295685,0.013608687879517675,2.996361196041107,0.1871831085383892,0.2607368450462818,0.01722470935434103,0.01422137314081192,3.0033360900878905,0.18819411206245423,0.2602968380451202
full_40k_reconstruction_lvsvae_v1,50,2.2248406999278814,138.77372239995748,00:02:19,0.01653071092814207,0.013536437597125769,2.9942732071876526,0.18713356256484986,0.26049785751104354,0.017176971815526486,0.014173593282699584,3.0033783683776853,0.18841679310798645,0.2610111323595047
full_40k_reconstruction_lvsvae_v1,51,2.1788430999731645,140.9528594999574,00:02:21,0.016393488869071007,0.013381602017208933,3.011886740207672,0.1871463340818882,0.2604559161365032,0.01681461965292692,0.013828935191035271,2.9856843338012697,0.18843778324127197,0.2606023486852646
full_40k_reconstruction_lvsvae_v1,52,2.6322778000030667,143.59044179995544,00:02:24,0.01624792336113751,0.01323034861497581,3.0175745801925657,0.18708526995778083,0.26046952688694003,0.016842435456812382,0.013819771096110343,3.022664237976074,0.18859944641590118,0.26037660682201386
full_40k_reconstruction_lvsvae_v1,53,2.60996889998205,146.2054665000178,00:02:26,0.016113498535007237,0.01310282895155251,3.0106694374084473,0.18705350214242936,0.2601443852186203,0.016814290255308152,0.013758494101464748,3.0557960205078123,0.18841490447521209,0.2602830438613892
full_40k_reconstruction_lvsvae_v1,54,2.6209185000043362,148.8320666999789,00:02:29,0.01606295952014625,0.01304150629416108,3.021453052997589,0.18705613937973975,0.2600837044119835,0.01654408722370863,0.013536657579243183,3.0074295063018797,0.18844577634334564,0.2601829906702042
full_40k_reconstruction_lvsvae_v1,55,2.5863427000585943,151.4243056999985,00:02:31,0.015902657698839903,0.012881558027118444,3.021099535942078,0.1870018411576748,0.26039633992314337,0.016244323670864105,0.01321974539011717,3.02457818031311,0.18790246713161468,0.2601753486394882
full_40k_reconstruction_lvsvae_v1,56,2.5879387001041323,154.01749509992078,00:02:34,0.015775537203997374,0.012742772661149503,3.032764410018921,0.18699975031614305,0.2602314563691616,0.016366819091141224,0.01333600666373968,3.030812328338623,0.18855252254009247,0.2612940579652786
full_40k_reconstruction_lvsvae_v1,57,2.2807429000968114,156.29855970002245,00:02:36,0.015672803830355405,0.012634608032181858,3.0381956238746644,0.18690386548638344,0.2603150950670242,0.016125355273485183,0.013096670217812061,3.0286849155426023,0.18830894374847412,0.2609768508672714
full_40k_reconstruction_lvsvae_v1,58,2.6478235999820754,158.95189229992684,00:02:39,0.015591539030894637,0.012553236747160555,3.038302168369293,0.18698672091960908,0.2602736927866936,0.015993877090513708,0.01295223768800497,3.0416393184661867,0.1881511906385422,0.2606500470638275
