run_name,epoch,epoch_seconds,elapsed_seconds,elapsed_time,train_total,train_reconstruction,train_kl,train_value,val_total,val_reconstruction,val_kl,val_value
end_40k_lvsvae_v1,1,2.1335008000023663,2.133504700032063,00:00:02,0.16389030845463276,0.08916975678503514,0.820369693050161,0.07390018185600639,0.13993612611293793,0.08424447178840637,1.0907590379714966,0.05460089515149593
end_40k_lvsvae_v1,2,1.95894230005797,4.098544500069693,00:00:04,0.12691475085914136,0.07312850570678711,1.9429754439592362,0.051843269418925045,0.1172161705493927,0.06197270852327347,2.4827555160522463,0.052760706186294554
end_40k_lvsvae_v1,3,1.934133099974133,6.035407299990766,00:00:06,0.10710487753152848,0.05580920358747244,2.7034311923980714,0.04859224286302924,0.09999542760848999,0.04938543850183487,2.8535076084136963,0.047756481468677524
end_40k_lvsvae_v1,4,2.0020762000931427,8.041640600073151,00:00:08,0.09425174440443516,0.04467442728579044,2.949426697254181,0.0466278903670609,0.09119962054491043,0.04062784305214882,3.011536371231079,0.04756024104356766
end_40k_lvsvae_v1,5,1.7660971001023427,9.811715800082311,00:00:10,0.08663437792658805,0.0379438926614821,3.0723666706085204,0.04561811834573746,0.08538875526189804,0.03594839717447758,3.1254415321350097,0.046314916461706164
end_40k_lvsvae_v1,6,1.876430599950254,11.692714700009674,00:00:12,0.08318962981551886,0.035308755367994306,3.0946929578781126,0.0447861813865602,0.08363969349861144,0.03460074408352375,3.0610231876373293,0.04597792574763298
end_40k_lvsvae_v1,7,2.1606720000272617,13.8562196000712,00:00:14,0.080849172398448,0.03375149730220437,3.0640108399391175,0.044033664025366306,0.08160387966036796,0.03312535744905472,3.0238991909027098,0.045454622969031334
end_40k_lvsvae_v1,8,2.122499700053595,15.98279260005802,00:00:16,0.07946071863919496,0.03271256152912974,3.060893858909607,0.04368726292997599,0.07974334919452668,0.032366240158677104,3.040151386260986,0.04433695754408836
end_40k_lvsvae_v1,9,2.410560400108807,18.39794489997439,00:00:18,0.07734049295634031,0.03179565880820155,3.054046453475952,0.04249078748375178,0.07920081809163093,0.03181968879699707,3.0132914352416993,0.044367837563157084
end_40k_lvsvae_v1,10,2.1947875999612734,20.59576489997562,00:00:21,0.07656824333965778,0.03125141035020351,3.053298131465912,0.04226353483647108,0.07736537206172943,0.030910509303212166,3.051462621688843,0.04340339997410774
end_40k_lvsvae_v1,11,2.3418463999405503,22.9402852000203,00:00:23,0.07542927081137896,0.030602267540991306,3.058600009441376,0.04176840329915285,0.07565793624520302,0.030394124880433082,3.0781636085510256,0.04218564772605896
end_40k_lvsvae_v1,12,2.11619490000885,25.061034800019115,00:00:25,0.07406083565205336,0.030184793770313263,3.0589520297050474,0.04081708966754377,0.07821359845995902,0.030317840799689293,3.0107197761535645,0.04488503782451153
end_40k_lvsvae_v1,13,1.887836999958381,26.94915390003007,00:00:27,0.0730963771790266,0.029802361741662026,3.0352224469184876,0.040258792927488685,0.07472714549303054,0.029552090242505075,3.0540328216552735,0.042121021822094915
end_40k_lvsvae_v1,14,1.6617616000585258,28.615588500048034,00:00:29,0.07291728280484676,0.02950621596723795,3.0277195639610293,0.04038334700837731,0.07441911777853966,0.0299672035574913,3.002933910369873,0.041448979705572125
end_40k_lvsvae_v1,15,1.8846787000074983,30.503653899999335,00:00:31,0.07186797811090946,0.02920840734243393,3.025584642410278,0.03963398606702685,0.0746583579480648,0.02916811853647232,2.981113271713257,0.0425091261267662
end_40k_lvsvae_v1,16,1.5894926999462768,32.09336950001307,00:00:32,0.07084814187884331,0.028831440322101116,3.0273207483291626,0.03898938069492579,0.07253795433044434,0.02881423231959343,2.9943426036834717,0.04072937940061092
end_40k_lvsvae_v1,17,1.865784200024791,33.96193410002161,00:00:34,0.07012249354273081,0.028493735734373332,3.039528259277344,0.03858922944404185,0.07224853748083114,0.028430422618985176,3.036890625,0.04078122401237488
end_40k_lvsvae_v1,18,1.815132200019434,35.78178070008289,00:00:36,0.06950789166241884,0.028321573425084352,3.0295731649398805,0.03815674494765699,0.07259187546372414,0.02828563705086708,3.0180647201538084,0.04128817348182202
end_40k_lvsvae_v1,19,1.416447600000538,37.198724500020035,00:00:37,0.0688386991918087,0.028019814893603324,3.0196186776161196,0.037799265407025814,0.07108798068761825,0.02814119739830494,2.974091386795044,0.039972691565752026
end_40k_lvsvae_v1,20,1.8399773000273854,39.04149380000308,00:00:39,0.06817151477187872,0.027813321612775325,3.0180621948242186,0.0373401307426393,0.07174050834774971,0.028374404713511468,3.0264943122863768,0.04033960928022862
end_40k_lvsvae_v1,21,1.2679328999947757,40.3096512000775,00:00:40,0.06774279367178679,0.027619426254183056,3.0166900539398194,0.03710667711496353,0.07239463099837304,0.027761525601148605,2.953770580291748,0.04167933465540409
end_40k_lvsvae_v1,22,1.2326639998937026,41.542560199974105,00:00:42,0.06745838288962841,0.027473071333020925,3.0077228307724,0.03697758858650923,0.07049923285841941,0.027682543620467185,2.961907934188843,0.0398547815233469
end_40k_lvsvae_v1,23,1.9155044999206439,43.46084700000938,00:00:43,0.06712750478833913,0.027241423431783915,3.002613432407379,0.03688346765004098,0.07329578229784965,0.02762926594913006,2.9823851089477538,0.0426841306835413
end_40k_lvsvae_v1,24,2.1565481000579894,45.61773380008526,00:00:46,0.06667096246778965,0.02713222471997142,3.015664041042328,0.03652307363599539,0.06996300891041755,0.027463337659835815,3.0124042949676513,0.039487267047166826
end_40k_lvsvae_v1,25,2.8651930999476463,48.48746620002203,00:00:48,0.06609611079096794,0.026954971484839916,2.992575131416321,0.036148564195260406,0.07050563576817513,0.027055971920490265,3.0153615474700928,0.04043430198729038
end_40k_lvsvae_v1,26,1.4206699000205845,49.908364000031725,00:00:50,0.06575010447949171,0.026764607653021813,3.0002171678543093,0.03598527950793505,0.06985747128725052,0.02718481808900833,2.9669346866607667,0.03970571817457676
end_40k_lvsvae_v1,27,2.2415729999775067,52.15316950005945,00:00:52,0.06571159164607525,0.026751799788326026,2.999943313598633,0.035959848571568725,0.06982719931006431,0.02701281516253948,3.0191550827026368,0.039795229092240335
end_40k_lvsvae_v1,28,2.0427152999909595,54.19994780002162,00:00:54,0.06495387829095126,0.02657055726647377,3.0320393400192263,0.03535128148831427,0.06935759180784226,0.026559360459446908,2.95412904548645,0.03984410232305527
end_40k_lvsvae_v1,29,1.8535863000433892,56.05740060005337,00:00:56,0.06484690368920565,0.0264606054648757,3.0150896859169007,0.03537120847217739,0.06968757456541061,0.026699634432792663,3.010589473724365,0.03997735033929348
end_40k_lvsvae_v1,30,1.5957969999872148,57.653450199984945,00:00:58,0.06483925593644381,0.026393953159451485,3.0115269532203675,0.03543377569131553,0.06873171561956405,0.02658539389073849,2.9864278583526613,0.03915989355742931
end_40k_lvsvae_v1,31,2.302170700044371,59.96129660005681,00:01:00,0.06413490494340658,0.0262360244654119,3.0153900060653687,0.03488349029421806,0.06860298001766205,0.026342413753271104,2.9920530281066893,0.03926851303875446
end_40k_lvsvae_v1,32,2.207767999963835,62.17759740003385,00:01:02,0.06407971841841936,0.026130656708031892,3.004591833114624,0.03494446968287229,0.06986959013342857,0.02624546082317829,3.0597799282073974,0.040564349114894864
end_40k_lvsvae_v1,33,1.5350736998952925,63.71283009997569,00:01:04,0.06360283507406711,0.025998244900256394,3.0168377113342286,0.034587752282619476,0.06873744022846222,0.026160489484667777,3.05225954246521,0.03952469140291214
end_40k_lvsvae_v1,34,1.6634202999994159,65.37647810007911,00:01:05,0.06309004238247871,0.02594427479803562,3.0263845720291136,0.03411938276514411,0.07111902967095375,0.02651668395102024,3.017235382080078,0.04158511017262936
end_40k_lvsvae_v1,35,1.6331283999606967,67.01006330002565,00:01:07,0.06294271282851696,0.0258654875010252,3.015877467632294,0.03406134774908423,0.06831156501173972,0.026153871953487395,2.9827573108673096,0.039174935407936574
end_40k_lvsvae_v1,36,2.3201529999496415,69.3333857000107,00:01:09,0.06244412921369076,0.025679546169936656,3.0149304699897765,0.033749652337282894,0.06886506786942483,0.026127261981368066,2.9920414600372314,0.03974576422572136
end_40k_lvsvae_v1,37,1.4660139000043273,70.79963530006353,00:01:11,0.06253992526978254,0.02566035257652402,3.013679140090942,0.03386589348688722,0.06864482417702675,0.0261150368899107,2.993333209991455,0.039536454156041144
