run_name,epoch,epoch_seconds,elapsed_seconds,elapsed_time,train_total,train_reconstruction,train_kl,train_value,val_total,val_reconstruction,val_kl,val_value
full_20k_303040_lvsvae_v1,1,1.4740323000587523,1.474036700092256,00:00:01,0.22198218160867692,0.10203299358487129,0.31038899561576544,0.11963879865407943,0.1924465742111206,0.08474079394340515,0.9084669857025146,0.10679731297492981
full_20k_303040_lvsvae_v1,2,1.406206600018777,2.887346300063655,00:00:03,0.1858767741918564,0.07975628373026848,1.1447349393367767,0.10497575530409813,0.18160528695583344,0.07770544558763504,1.280938283920288,0.10261890423297883
full_20k_303040_lvsvae_v1,3,1.6569077000021935,4.55045219999738,00:00:05,0.1757083910703659,0.07270041763782502,1.5466722993850708,0.1014613009095192,0.17075343990325928,0.07030101817846299,1.7207346057891846,0.0987316863834858
full_20k_303040_lvsvae_v1,4,1.7316745000425726,6.285936100059189,00:00:06,0.168043349981308,0.0680896441489458,1.7863615317344665,0.09816734418272972,0.16853042364120482,0.06607212090492248,1.8804796295166015,0.10057782408595085
full_20k_303040_lvsvae_v1,5,1.41683640005067,7.707801900105551,00:00:08,0.15946893459558487,0.060622650399804114,2.1144411029815675,0.09673184278607369,0.15239430725574493,0.054413411617279056,2.322031858444214,0.09565886351466178
full_20k_303040_lvsvae_v1,6,1.5571355000138283,9.270092600025237,00:00:09,0.14641772675514222,0.04879238903522491,2.484354140281677,0.09514098359644413,0.14249548757076264,0.045676692754030225,2.55919052696228,0.09425960344076156
full_20k_303040_lvsvae_v1,7,1.4940414000302553,10.767908500041813,00:00:11,0.14058203080296516,0.044258913323283196,2.5709248552322386,0.09375219257175922,0.14107254552841186,0.0426288802921772,2.6111880111694337,0.09583247622847557
full_20k_303040_lvsvae_v1,8,1.4154189000837505,12.187865000101738,00:00:12,0.1360242593884468,0.040848491862416264,2.710058083534241,0.09246570944786071,0.13747859519720076,0.039234995543956756,2.8759140491485597,0.09536768552660942
full_20k_303040_lvsvae_v1,9,1.549692599917762,13.7437039000215,00:00:14,0.1318870478272438,0.0376102893948555,2.832613862991333,0.09144414462149143,0.1336539732813835,0.03691623020172119,2.843169734954834,0.09389457300305366
full_20k_303040_lvsvae_v1,10,1.7004882000619546,15.450260700075887,00:00:15,0.12843179497122764,0.03506806098669767,2.909545082092285,0.09045418879389763,0.13142393898963928,0.03461612462997436,2.919868835449219,0.09388794556260109
full_20k_303040_lvsvae_v1,11,1.6499530000146478,17.10527360008564,00:00:17,0.1266714097559452,0.03333053258061409,2.916939323425293,0.09042393770813942,0.12826615583896636,0.033108663231134414,2.919167158126831,0.09223832559585571
full_20k_303040_lvsvae_v1,12,1.6466479999944568,18.763870600028895,00:00:19,0.12338512974977493,0.031954740054905416,2.94781858253479,0.08848257064819336,0.12866217923164366,0.03163905438780785,2.932903558731079,0.09409022128582001
full_20k_303040_lvsvae_v1,13,1.8056600999552757,20.56985720002558,00:00:21,0.12213266485929489,0.030837334133684634,2.9524443521499633,0.08834288583695889,0.1262813921570778,0.030568467676639555,2.9553652935028074,0.09275755855441094
full_20k_303040_lvsvae_v1,14,1.6054547999519855,22.184342300053686,00:00:22,0.1201692118048668,0.02994621654599905,2.9419715051651,0.08728102381527424,0.12761007529497145,0.030127923548221587,2.9275833168029783,0.09455456873774529
full_20k_303040_lvsvae_v1,15,1.5051327999681234,23.68969550007023,00:00:24,0.11948628744482995,0.029300728730857373,2.946864640235901,0.08723869374394416,0.12479357123374939,0.029302920684218407,2.953493417739868,0.09253715685009957
full_20k_303040_lvsvae_v1,16,1.5720396999968216,25.266887200064957,00:00:25,0.11866742792725563,0.02879940710961819,2.948694716453552,0.08691932606697082,0.12344136309623718,0.02864962987601757,2.9254502754211424,0.09186628359556198
full_20k_303040_lvsvae_v1,17,1.6734306999715045,26.944111700053327,00:00:27,0.11704826253652573,0.02819310174882412,2.940813439369202,0.08591434727609158,0.12356649684906006,0.028554300367832183,2.936262319564819,0.09207593441009522
